ID,titulo,titulo_completo,empresa,comentario_curto,comentario,link,data,cidade,local
109634559,"MR.CAT PLAZA NITEROI ,NÃO CUMPRE GARANTIA","MR.CAT PLAZA NITEROI ,NÃO CUMPRE GARANTIA",Mr. Cat - Loja Física," ofereceu a assistencia para um defeito de fábrica por defeito (nunca um sapato meu, soltou costura) a empresa deveria copiar o exemplo da empresa RAFARILLO Calçados...","Comprei um par de Sapatos na loja fisica Mr.Cat ,plaza Niteroi em 07/2019, o sapato de inicio é bom, resistente, porém começou a apresentar alguns defeitos e fábrica ,como soltar a costura, descolar no fundo e rastou na parte traseira de ambos os lados, estive na loja e abri um protocolo para averiguação Pz-316488  e a loja após analise, informou não cobir ao menos o reparo, pois a costura soltou e o sapato está muito feio. a Mr.Cat foi despicente , nem sequer ao menos ofereceu a assistencia para um defeito de fábrica por defeito (nunca um sapato meu, soltou costura) a empresa deveria copiar o exemplo da empresa RAFARILLO Calçados, pois esta empresa não somente dá atenção aos clientes, como tambénm os respeita !!!!!!!!! Infelizmente não comprei RAFARILLO pois não tinham o meu numero 44, Mr. cat NUNCA MAIS",https://www.reclameaqui.com.br/mr-cat-loja-fisica/mr-cat-plaza-niteroi-nao-cumpre-garantia_mEaTxdhNBgvjiNeD/, 01/08/20 às 22h32,São Gonçalo, São Gonçalo - RJ
109630953,Propaganda enganosa - cupom inexistente e/ou inválido,Propaganda enganosa - cupom inexistente e/ou inválido,C&A - Loja Online,"No próprio aplicativo da C&A, foi divulgado um cupom de 20% OFF (CEA20) de desconto ""em todas as roupas e calçados do site, exceto Marketplace"", sem...","No próprio aplicativo da C&A, foi divulgado um cupom de 20% OFF (CEA20) de desconto ""em todas as roupas e calçados do site, exceto Marketplace"", sem nenhuma outra restrição. No entanto, quando vou aplica-lo no carrinho, para comprar uma calça, aparece que o cupom é inválido ou inexistente. Tentei entrar em contato com a central de atendimento por telefone, mas primeiro fui informada que o cupom era [Editado pelo Reclame Aqui] (como assim??? o próprio aplicativo fornece informações [Editado pelo Reclame Aqui]???). Mas, enviei prints por email e consegui comprovar que o cupom já tinha sido utilizado anteriormente em outra compra e que agora não é possível mais, MESMO QUE A PROPAGANDA DO CUPOM E DA PROMOÇÃO AINDA PERMANECESSEM ATIVAS NO APLICATIVO.E pasmem, depois de 25 minutos pagando por uma ligação interubana, a atendente me informou que simplesmente não conseguiria resolver esse problema por telefone e que poderia abrir uma solicitação que demoraria cerca de 10 dias ou que eu poderia entrar em contato com o SAC para tentar resolver. Seguindo a orientação, entrei em contato com o SAC e não consegui resolver nada, somente registrar minha reclamação. Sendo assim, a impossibilidade da utilização do cupom configura propaganda enganosa, já que não consigo me beneficiar da vantagem que foi divulgada pela própria loja. É um absurdo uma loja desse porte fazer propaganda enganosa e, ainda por cima, dizer, em um primeiro momento, que o cupom, divulgado por ela mesma, é [Editado pelo Reclame Aqui]. Não é a primeira vez que tenho problemas com a C&A, que, infelizmente, desrespeitou o Código de Defesa do Consumidor (pela segunda vez, no meu caso).",https://www.reclameaqui.com.br/cea-loja-online/propaganda-enganosa-cupom-inexistente-e-ou-invalido_ek1UBsS0b4lyS1pf/, 01/08/20 às 20h13,Belo Horizonte, Belo Horizonte - MG
109629471,Sem notícias,Sem notícias,Sartre,"Fiz uma compra na Sartre calçados e até agora não obtive qualquer notícia sobre o pedido, que já era para ter sido entregue.  Além disso, não há um canal que informe a real situação do produto....","Fiz uma compra na Sartre calçados e até agora não obtive qualquer notícia sobre o pedido, que já era para ter sido entregue.  Além disso, não há um canal que informe a real situação do produto.",https://www.reclameaqui.com.br/sartre/sem-noticias_Bfsi1y8oLgGbF-eV/, 01/08/20 às 19h19,Campinas, Campinas - SP
109628149,Troca de calçado,Troca de calçado,Loja Zattini, estarem com numero 42. Ficaram enormes em meus pés. Seguramente esses calçados não são 42. N.F. 012926 da Polo Blu Comercio de Calçados Meus pes medem 28 cm. Como é feita a troca?...,"Comprei kit sapatenis polo blu casual masculino preto + caramelo 42. Acontece que os produtos sao de tamanhos maiores, apesar dos adesiivos de numeração estarem com numero 42. Ficaram enormes em meus pés. Seguramente esses calçados não são 42. N.F. 012926 da Polo Blu Comercio de Calçados Meus pes medem 28 cm. Como é feita a troca?",https://www.reclameaqui.com.br/loja-zattini/troca-de-calcado_7rSxXrojiasH3Z7u/, 01/08/20 às 18h34,Americana, Americana - SP
109627851,Cupom de desconto,Cupom de desconto,Zattini,", selecionei 2 calçados e fui colocar o código que veio na mensagem de notificação. Apareceu uma mensagem de cupom inválido ou expirado. Entrei em contato com a...","Hoje cedo recebi uma notificação no celular da Zattini com um cupom de 20% de desconto em qualquer compra, colocando o código app20. Entrei no aplicativo, selecionei 2 calçados e fui colocar o código que veio na mensagem de notificação. Apareceu uma mensagem de cupom inválido ou expirado. Entrei em contato com a Zattini pelo chat, falei com o atendente Danilo que não conseguiu resolver o problema, disse que iria ver se alguém da equipe de ativos poderia me atender, enquanto eu esperava o chat foi encerrado sem solução. Entrei de novo no chat, falei com outra atendente, a Priscila que me informou que esse cupom tinha validade de 1 dia. Mesmo eu informando que havia recebido em menos de 1h e ela encerrou o atendimento. Entrei pela terceira vez, falei com a Sheila que me informou que esse cupom não era válido para os produtos que eu havia escolhido e ""essa informação constava no e-mail que recebi"", mesmo informando que eu recebi a notificação no celular e não constava nenhuma informação a respeito da restrição de produtos a serem comprados. Aí ela me enviou um monte de informações que não tinham nada a ver com o meu questionamento até eu encerrar o chat. O fato é que eu recebi o cupom de desconto, não funcionou e a empresa não fez nada para me ajudar, o atendimento foi péssimo, funcionários despreparado e e que nao sabem resolver os problemas causados pela empresa. Sem contar que essa atitude me levar a acreditar que a empresa faz propaganda enganosa, apenas para atrair clientes!",https://www.reclameaqui.com.br/zattini/cupom-de-desconto_ZkvHzeI4cgTwbfMD/, 01/08/20 às 18h24,São Paulo, São Paulo - SP
109627719,Produto com defeito,Produto com defeito,Olympikus - Loja Online,A um mês e meio atrás comprei um tênis da Olympikus na kik calçados do centro de São Gonçalo e o tênis com menos de 2 meses de uso e com pouco uso já está...,A um mês e meio atrás comprei um tênis da Olympikus na kik calçados do centro de São Gonçalo e o tênis com menos de 2 meses de uso e com pouco uso já está apresentando defeito. Poderiam me ajudar a resolver? Já que o tênis não foi barato e é um absurdo já estragar assim com 1 mês de uso.,https://www.reclameaqui.com.br/olympikus-loja-virtual/produto-com-defeito_U_cPlqyxr-N_MDWI/, 01/08/20 às 18h18,São Gonçalo, São Gonçalo - RJ
109624995,Descumprimento do prazo de entrega e propaganda enganos...,Descumprimento do prazo de entrega e propaganda enganosa,Condi Outlet," lugar do site, ou na propaganda, constava que os calçados não são produzidos no Brasil.Em 23/06/2020 questionei a Loja Condi por e-mail, único modo de...","Em 04/06/2020 comprei duas botas ultralight à prova d'água da Loja Condi, por intermédio de propaganda no Instagram e venda no site da loja. Em nenhum lugar do site, ou na propaganda, constava que os calçados não são produzidos no Brasil.Em 23/06/2020 questionei a Loja Condi por e-mail, único modo de contato, a demora em receber os códigos de postagem dos calçados que comprei, e desde então a Loja Condi se limita a responder que os calçados passaram a ser produzidos em Franca, São Paulo, e que a agência dos Correios que distribui a produção está sobrecarregada, mas que ""em breve vamos enviar o código de rastreio"". Deste ""em breve"" já se passaram 29 dias úteis desde o contato que eu fiz em 23/06/2020.Em 22/07/2020 se encerrou o prazo limite, citado no site da Loja Condi, para entrega das minhas compras - 35 dias úteis. Na penúltima mensagem que enviei à Loja Condi, solicitei informações sobre cancelamento da minha compra. A resposta foi a mesma - ""em breve vamos enviar o código de rastreio"".Hoje, 01/08/2020, enviei novo e-mail à Loja Condi solicitando o cancelamento de ambas as compras - pedidos 49375 e 49376. Não tenho mais interesse em receber os calçados, e quero apenas a devolução do valor que paguei. A loja não conseguiu cumprir o prazo de entrega estimado por ela própria, e não responde aos clientes com clareza. Além disso, considero propaganda enganosa não citar em seu site que os calçados da Loja Condi não são produzidos no Brasil, razão para que ela não tenha controle sobre o prazo de entrega.A justificativa de que a produção passou a ser feita em Franca, São Paulo, não parece verdadeira. Os calçados não são feitos sob encomenda. Se fossem fabricados no Brasil, estariam em estoque, e certamente eu e tantos outros clientes já teríamos recebido as compras que fizemos.Aguardo providência da Loja Condi para o cancelamento das minhas compras e devolução do valor que paguei por elas.",https://www.reclameaqui.com.br/condi-outlet/descumprimento-do-prazo-de-entrega-e-propaganda-enganosa_k-0xWdsrjbZGzhvx/, 01/08/20 às 16h41,Brasília, Brasília - DF
109622005,Devolução,Devolução,Privalia,"Boa tarde ! Estou com problemas para fazer a devolução de 3 pedidos morena rosa, frutaria e calçados Luluzinha e Olivier. Os pedidos nunca abriram...","Boa tarde ! Estou com problemas para fazer a devolução de 3 pedidos morena rosa, frutaria e calçados Luluzinha e Olivier. Os pedidos nunca abriram para solicitar devolução entrei em contato com a privalia solicitando devolução e me enviaram um e-mail para informar os produtos da campanha para serem devolvido, respondi os eméritos relatando todos os produtos, porém não me enviaram o código da devolução agora quando reclamo ora falam que o prazo já  venceu para devolver ora enviam e-mail para informar os produtos a serem devolvidos e não enviam os códigos . Tenho todos os e-mail respondidos não sei o que fazer",https://www.reclameaqui.com.br/privalia/devolucao_8j07kBYLGQMuK6wO/, 01/08/20 às 15h05,São José do Rio Preto, São José do Rio Preto - SP
109621957,Data prevista de entrega diferente da loja em mais de 2...,Data prevista de entrega diferente da loja em mais de 20 dias,Total Express - TEX Couri...,"Gostaria de saber pq na loja mundial calçados aparece a data prevista de entrega para dia 04/08 terça feira,porém qdo vou consultar o rastreio pela...","Gostaria de saber pq na loja mundial calçados aparece a data prevista de entrega para dia 04/08 terça feira,porém qdo vou consultar o rastreio pela transportadora a data prevista aparece para dia 24/08 ,e pelo andar da carruagem vai ser bem isso .Como pode uma diferença tão grande de 20 dias de previsão da loja pra transportadora. MUNDIAL CALÇADOSPedidoVTX-876717Nota Fiscal93476Estou esperando esse pacote pra essa data pois é presente.",https://www.reclameaqui.com.br/total-express-tex-courier/data-prevista-de-entrega-diferente-da-loja-em-mais-de-20-dias_B1EVK9X_M3v4hSgX/, 01/08/20 às 15h04,São Paulo, São Paulo - SP
109621787,JUROS ABUSIVO APÓS ACORDO COBRANÇA DUPLICADA,JUROS ABUSIVO APÓS ACORDO COBRANÇA DUPLICADA,Credsystem Adm Cartões de...,"EU DURANTE OS MESES ANTERIORES AO CORONA VIRUS SEMPRE CUMPRI COM O PAGAMENTO EM DIA DA MINHA FATURA ABERTA COM A CREDSYSTEM JUNTO A KALLAN CALÇADOS ""...","EU DURANTE OS MESES ANTERIORES AO CORONA VIRUS SEMPRE CUMPRI COM O PAGAMENTO EM DIA DA MINHA FATURA ABERTA COM A CREDSYSTEM JUNTO A KALLAN CALÇADOS ""SEMPRE EM DIA "" COM A SITUAÇÃO ATUAL ACABOU FECHANDO TODO COMÉRCIO RECEBI UMA ACORDO VALOR DE 4 PARCELAS  PAGUEI A PRIMEIRA PARCELA DO ACORDO E PRA MINHA SURPRESA AO IR AO SITE IMPRIMIR A FATURA DESSE MÊS APARACEU QUE AN ANTERIORES ESTÃO ATIVAS COMENDO JUROS ABUSIVOS, NO CASO JÁ IRIA PAGAR A 2 PARCELA DO ACORDO E ESTÁ CONFORME O PRINT JUNTOU AS AS PARCELAS ANTIGAS COM JUROS ABSURDO MAIS O PARCELA DO ACORDO QUE NÃO APARECEM INCLUSIVE NÃO SEI NEM O QUE FAZER PRA PAGAR A SEGUNDO O QUE CAUSA ESSE ACUMULO DE PARCELAS ATRAZADAS CORRENDO JUROS MEU SCORE  ESTÁ BAIXANDO DE FORMA ALTA POIS ESSA EMPRESA NÃO ATIVOU O ACORDO MESMO QUE FOI PAGO A PRIMEIRA PARCELA POR MIM SEMPRE ZELO EM PAGAR MINHAS CONTAS EM DIA POIS ESTOU A DOIS ANOS TENTANDO PRESERVAR MEU HISTÓRICO JUNTO DO BANCO CENTRAL E ESTOU SOFRENDO [Editado pelo Reclame Aqui] POR PARTE DA EMPRESA SENDO QUE PAGUEI A PRIMEIRA PARCELA DO ACORDO A EMPRESA NÃO CUMPRIU COM O ACORDO DEIXANDO TODAS AS OUTRAS PARCELAS EM ABERTO PRECISO DE AJUDA URGENTE POIS MEU SCORE ESTÁ BAIXANDO A TODAS AS OUTRAS DESPESAS DO m~ES ESTÃO EM DIA CASO NÃO QUEIRAM RESOLVER AMIGAVELMENTE POIS SE É OUTRA PESSOA JA IRIA NO PEQUENAS CAUSAS NÃO TENHO INTERESSE EM TIRAR NADA DE NINGUÉM SE NÃO NEM ESTARIA AQUI SOLICITO EXCLUSÃO DE JUROS ABUSIVOS E QUE PERMANEÇA O QUE FOI ACORDADO 4 PARCELAS ABAIXO ESTÃO AS PARCELAS DO ACORDO NÃO ENCONTRADAS E O COMPROVANTE PAGO DO ACORDO NÃO FORMALIZADO QUE FOI PAGA ENVIO O COMPROVANTE DE PAGAMENTO 117,69  SE NÃO ARRUMAR VO9U PROCESSAR VOCÊS",https://www.reclameaqui.com.br/credsystem-adm-cartoes-de-credito/juros-abusivo-apos-acordo-cobranca-duplicada_DjwbZ2LyGmwI2tH1/, 01/08/20 às 14h59,Guarujá, Guarujá - SP
