ID,titulo,titulo_completo,empresa,comentario_curto,comentario,link,data,cidade,local,problema
108262059,Botas de fabricação nacional de PÉSSIMA QUALIDADE,Botas de fabricação nacional de PÉSSIMA QUALIDADE,Timberland - Loja Física ," revezo com outros calçados, e muito menos nenhum tipo de super exigência que não fosse o de me deslocar até o escritório e trabalhar sentado ], primeiramente a...","No ano de 2019 comprei duas botas dos modelos Factory 73 e Larchmont, nunca havia comprado nenhuma bota da Timberland, e pela boa reputação de pessoas que conheço que tinham botas compradas no exterior não achei necessário pesquisar por aqui no site. Quando chegaram os modelos, comprados no Brasil, primeiramente achei estranho o acabamento interno da Factory 73, e depois, da indicação que a fabricação delas era nacional, não sabia dessa informação. Por essa razão fiquei desconfiado e entrei em contato direto com a Timberland, que confirmaram que já há algum tempo passaram a fabricar no Brasil.O resumo dessa infeliz experiência não foi diferente da minha desconfiança inicial, com menos de somente 3 a 4 meses de uso, [ deixando bem claro que não houve excesso de uso, pois sempre revezo com outros calçados, e muito menos nenhum tipo de super exigência que não fosse o de me deslocar até o escritório e trabalhar sentado ], primeiramente a Factory rachou o solado e teve um desgaste da mesma borracha numa velocidade que só pode ser justificada pelo material de baixíssima qualidade. Em seguida o solado da Larchmontque não apresentou o mesmo problema da Factory de desgaste acelerado, começou a descolar, primeiro um pé, depois o outro.Fiquei profundamente decepcionado, pois comprei duas botas confiando na marca, pagando o preço caro de um produto original em troca da qualidade de um produto falsificado. Fiquei mais surpreso ainda em descobrir no Reclame Aqui que fui apenas outro que foi enganado, pois os problemas que tive com os dois modelos são recorrentes nas reclamações aqui no site e a própria Timberland está ciente disso.Uma das possibilidades que penso para isso é uma pegadinha de obsolência programada, que garante que a produto funcione sem apresentar problema até o limite da garantia e olhe lá, pois passando do prazo não há nada que possa fazer. É isso, vejo que a reputação da marca aqui no site, bem como os tipos de problemas relatados e a disposição em resolvê-los de fato, refletem de maneira precisa qual é a verdadeira intenção da marca no Brasil.",https://www.reclameaqui.com.br/timberland-loja-fisica/botas-de-fabricacao-nacional-de-pessima-qualidade_UcQ-WzwdO-FEN5rf/, 21/07/20 às 15h06,Florianópolis, Florianópolis - SC,0
108803099,Em 1 mês a sandália está acabada,Em 1 mês a sandália está acabada,Beira Rio Conforto," ela simplesmente está acabada. Usei umas 8x no máximo pra ser bem sincera. Aguardo uma providência, pois achei que uma marca grande, conhecida e de nome, tivesse calçados de qualidade. Ainda mais pelo preço!...","É triste viu, pois é a segunda vez que compro beira rio. A primeira vez achei que tive azar! Mas não é possível. Um mês que comprei a sandália na C&A e ela simplesmente está acabada. Usei umas 8x no máximo pra ser bem sincera. Aguardo uma providência, pois achei que uma marca grande, conhecida e de nome, tivesse calçados de qualidade. Ainda mais pelo preço!",https://www.reclameaqui.com.br/beira-rio-conforto/em-1-mes-a-sandalia-esta-acabada_yrucUV1SMvISucQU/, 20/07/20 às 15h24,Nova Iguaçu, Nova Iguaçu - RJ,0
108799351,Jaqueta Hurley Rip  stop Preta,Jaqueta Hurley Rip  stop Preta,Kanui," solicitei um auxílio. Nada pode ser feito , palavras do atendente. KANUI ESTA VENDENDO PRODUTOS DE BAIXISSIMA QUALIDADE. JA TIVE PROBLEMAS COM CAMISETAS ... BERMUDAS E CALÇADOS .  CUIDADO AO COMPRAR NESSE SITE.!!!...","Adquiri o produto no site da kanui no valor R$ 400,00 o produto apresentou inúmeras falhas: descusturando, soltando algodão logo caindo zíper travando ! Enviei para troca e solicitei o mesmo produto ! Mesmo assim recebendo um novo as falhas continuam; o casaco está se desmanchando e mesmo assim como cliente antigo solicitei um auxílio. Nada pode ser feito , palavras do atendente. KANUI ESTA VENDENDO PRODUTOS DE BAIXISSIMA QUALIDADE. JA TIVE PROBLEMAS COM CAMISETAS ... BERMUDAS E CALÇADOS .  CUIDADO AO COMPRAR NESSE SITE.!!!",https://www.reclameaqui.com.br/kanui/jaqueta-hurley-rip-stop-preta_SANGvCKCO4aiG1dy/, 20/07/20 às 14h46,Brasília, Brasília - DF,0
108796851,Tênis de má qualidade,Tênis de má qualidade,Kappa, que os pés ficam suados e mesmo usando talco e spray para os pés não adiantam em nada com outros calçados de outras marcas não tenho problema em relação a isso. O problema é o produto mesmo....,"Olá vou ser curto na minha reclamação , comprei no site da Zattini 3 pares de tênis kappa lindos pela sua estética porém a qualidade não está dentro dos padrões todos os meus calçado s eu uso com meias esportivas de algodão e nunca suou meus pés porém usei os três pares dos tênis kappa e a meia fica molhada de tanto que os pés ficam suados e mesmo usando talco e spray para os pés não adiantam em nada com outros calçados de outras marcas não tenho problema em relação a isso. O problema é o produto mesmo.",https://www.reclameaqui.com.br/kappa/tenis-de-ma-qualidade_Jo4xAS-VM59K96uC/, 20/07/20 às 14h21,São Paulo, São Paulo - SP,0
108763895,Propaganda enganosa,Propaganda enganosa,Bella Confort," consigo mais entrar no site da loja! PESSOAL NÃO COMPREM CALÇADOS NESTE COMERCIANTE!!! Eu agradeço a ajuda, e peço desculpas por qualquer inconveniente.AttKelly Oliveira....","Na primeira semana de Junho/20 realizei a compra de um par de botas femininas (preta/azul), a encomenda chegou ontem (19/07), e infelizmente fiquei decepcionada, não tem nada haver com a imagem das botas postadas no site da loja, não chega nem perto, a bota que eu recebi não tem qualidade nenhuma, é horrivelmente feia, em um produto desse eu não daria mais que R$ 30,00 e essa bota custou quase R$ 200,00... Para piorar tudo selecionei a numeração 38 na hora da compra, me mandaram a numeração 42!!! Não quero essa bota, não foi isso que comprei, não vou pagar por isso! Gostaria de saber como faço para cancelar a compra, sendo que não consigo mais entrar no site da loja! PESSOAL NÃO COMPREM CALÇADOS NESTE COMERCIANTE!!! Eu agradeço a ajuda, e peço desculpas por qualquer inconveniente.AttKelly Oliveira.",https://www.reclameaqui.com.br/bella-confort/propaganda-enganosa_oTEoz0LjEMBtNH8A/, 20/07/20 às 07h29,São Paulo, São Paulo - SP,0
108755363,Sandália dura na qualidade,Sandália dura na qualidade,Dakota Calçados S-A,"Bom dia!Tenho vários calçados da Dakota e nunca tive problema com Nenhum. Há alguns meses ganhei uma sandália da marca, super linda, usei algumas vezes e...","Bom dia!Tenho vários calçados da Dakota e nunca tive problema com Nenhum. Há alguns meses ganhei uma sandália da marca, super linda, usei algumas vezes e todas as vezes que uso ela me machuca, tanto na parte de cima, como causa desconforto na parte do solado também. Eu tinha desistido de usar e deixei ela de lado, como está bem novinha ainda, resolvi ver com vocês o que pode ser feito por mim como cliente fiel da marca. Eu não tenho nota, pois foi um presente, como eu disse.Muito obrigada",https://www.reclameaqui.com.br/dakota-calcados-s-a/sandalia-dura-na-qualidade_0h8Aj4VYWNtPhe-y/, 19/07/20 às 21h23,Guarulhos, Guarulhos - SP,0
108704611,Sandálias com problema,Sandálias com problema,Vizzano," onde comprar uma que não tenha nenhum defeito, pois quem calça 33 já tem uma enorme dificuldade em adquirir calçados e ai vem a Vizzano e faz isso....","Em Junho de 2020 realizei a compra de uma sandália modelo 6281-127. Foi realizado contato direto com a fábrica e realizado a troca. Em 07/2020 realizei a compra da mesma sandália em outra loja e mais uma vez defeito de fabrica. Quero muito esta sandália, mas parece que a Vizzano não quer que eu a tenha. Preciso saber onde comprar uma que não tenha nenhum defeito, pois quem calça 33 já tem uma enorme dificuldade em adquirir calçados e ai vem a Vizzano e faz isso.",https://www.reclameaqui.com.br/vizzano/sandalias-com-problema_wGFfoKBw3OlBIiNu/, 18/07/20 às 11h53,Ribeirão das Neves, Ribeirão das Neves - MG,0
108699875,CHINELOS HAVAIANAS/PÉSSIMA QUALIDADE,CHINELOS HAVAIANAS/PÉSSIMA QUALIDADE,Havaianas - Loja Física,"Comprei um chinelo Havaianas no dia 18/06 na loja de calçados próximo a minha residência e hoje dia 18/07 o mesmo está prestes a arrebentar, é a segunda vez...","Comprei um chinelo Havaianas no dia 18/06 na loja de calçados próximo a minha residência e hoje dia 18/07 o mesmo está prestes a arrebentar, é a segunda vez que meu marido compra o chinelo desse modelo e ele arrebenta. O chinelo não foi barato, e durou nada x nada. Meu marido usa o chinelo só pra ficar em casa, pois ele usa outro para ir à rua. Fica aqui minha indignação com essa marca tão famosa e de péssima qualidade.",https://www.reclameaqui.com.br/havaianas-loja-fisica/chinelos-havaianas-pessima-qualidade_n7Fk5zp3yGgaOZYA/, 18/07/20 às 10h15,Contagem, Contagem - MG,0
108669877,Sapatilha com defeito,Sapatilha com defeito,Calçados Bottero,"Comprei uma Sapatilha Amêndoa da Bottero na loja Panamericana dia 08/05 de 172,90, além de outros calçados. Com alguns dias de uso percebi que o salto da...","Comprei uma Sapatilha Amêndoa da Bottero na loja Panamericana dia 08/05 de 172,90, além de outros calçados. Com alguns dias de uso percebi que o salto da sapatilha deslocou. Voltei a loja e me sinalizaram que o problema foi causado por mau uso do produto, visto que a fabricante havia analisado o produto. Essa informação não é compatível com as vezes que utilizei o calçado, comprei uma sapatilha com o valor mais alto e de MARCA justamente para que esse tipo de problema não ocorresse. Quero que meu problema seja resolvido e que outros clientes não passem pelo mesmo constrangimento que eu passei. Há parcelas ainda para quitar e cumprirei com minhas responsabilidades, no entanto quero usufruir do produto que comprei",https://www.reclameaqui.com.br/calcados-bottero/sapatilha-com-defeito_m-eajC5aHoe1nLNL/, 17/07/20 às 16h59,Imbituba, Imbituba - SC,0
108631501,Produto FALSIFICADO,Produto FALSIFICADO,todamulher.com.br,"Fiz uma compra de um All Star anunciado como ORIGINAL, da loja terceira LBF CALÇADOS. Paguei 179,90 + frete, preço linear do produto original, nada de mais...","Fiz uma compra de um All Star anunciado como ORIGINAL, da loja terceira LBF CALÇADOS. Paguei 179,90 + frete, preço linear do produto original, nada de mais, nada de menos!!! Recebi uma réplica das mais fajutas e com quase 15 dias de atraso!!! Essa gente tem que ser presa pois isso é [Editado pelo Reclame Aqui]!!! Um absurdo!!!",https://www.reclameaqui.com.br/todamulher-com-br/produto-falsificado_h9nJwP8Asnhc77TJ/, 17/07/20 às 08h50,São Paulo, São Paulo - SP,0
108604215,Tentando realizar a troca de um produto sem nenhum reto...,Tentando realizar a troca de um produto sem nenhum retorno da Netshoes,Netshoes, calçados nesse site e agora que preciso do atendimento deles. Simplesmente ignoram qualquer tentativa de contato. Até para entrar no chat online tem uma fila de...,"Comprei uma bota no site da Netshoes. Com menos de 30 dias de uso o calçado começou a rachar o couro e rasgou. Tento entrar em contato com o site porém sem sucesso. Para solicitar a trocar eles mandam fazer o procedimento pelo site e esperar um email com as instruções que nunca chega. Não é a primeira vez que compro calçados nesse site e agora que preciso do atendimento deles. Simplesmente ignoram qualquer tentativa de contato. Até para entrar no chat online tem uma fila de 90 min para esperar, que na verdade antes dos 40 min encerra o atendimento. Se continuar assim vai passar o tempo hábil para realizar troca e perderei meu dinheiro.Espero retorno urgente, saco contrário procurarei o Procon.",https://www.reclameaqui.com.br/netshoes/tentando-realizar-a-troca-de-um-produto-sem-nenhum-retorno-da-netshoes_WC-qZswPDXuijaHG/, 16/07/20 às 17h41,Lagoa Vermelha, Lagoa Vermelha - RS,0
